브랜드,대분류,카테고리,질문,답변
테슬라,기능 및 충전,소프트웨어 업데이트,소프트웨어 업데이트,"Tesla 차량은 Wi-Fi로 새로운 기능을 추가하고 기존 기능을 향상시키는 OTA 소프트웨어 업데이트를 정기적으로 진행합니다 소프트웨어 업데이트 설치 소프트웨어 업데이트 설정 변경 자주 묻는 질문 터치스크린에서 '소프트웨어' 탭을 열어 새로운 소프트웨어 업데이트를 확인할 수 있습니다 새로운 업데이트 사용이 가능할 경우 중앙 터치스크린으로 알림을 받게되며, 업데이트를 즉시 설치하거나 나중에 설치할 수 있습니다 Tesla 앱에서 사용 가능한 업데이트를 확인할 수도 있습니다 업데이트를 사용할 수 있는 경우 앱의 시작 페이지에 '소프트웨어 업데이트'가 표시됩니다 소프트웨어 업데이트를 가장 빠르고 안정적으로 받으려면 차량을 Wi-Fi에 연결합니다 '컨트롤' > '소프트웨어' > '소프트웨어 업데이트 설정'을 눌러 소프트웨어 업데이트 설정을 조정할 수 있습니다 '우선 업데이트' 또는 '표준' 중 선택할 수 있습니다 '우선 업데이트'를 선택하면 차량 구성 및 지역에서 소프트웨어 업데이트가 가능한 즉시 소프트웨어를 업데이트할 수 있습니다 이 기능은 소프트웨어 업데이트 2019.16 이상에서만 사용할 수 있습니다 사용자 매뉴얼에는 소프트웨어 업데이트를 다운로드하고 소프트웨어 업데이트 설정을 조정하는 방법에 대한 단계별 지침이 있습니다 차량에 최적화된 최신 정보를 확인하려면 '컨트롤' > '정비'> '사용자 매뉴얼'을 탭하여 차량의 터치스크린에서 사용자 매뉴얼을 보세요 이 정보는 구입한 기능, 차량 구성, 시장 지역 및 소프트웨어 버전에 따라 차량별로 다릅니다 무선 소프트웨어 업데이트란 무엇인가요? 무선 소프트웨어 업데이트는 Wi-Fi를 사용하여 다운로드할 수 있는 차량 업데이트입니다 이 업데이트는 차량에 새로운 기능과 업데이트를 적용하며 시간이 지날수록 차량의 안전성을 높이고 새로운 기능을 추가합니다 소프트웨어 업데이트는 언제 사용할 수 있나요? 소프트웨어 업데이트는 지속적으로 이루어지며 모든 차량이 동시에 동일한 업데이트를 받는 것은 아닙니다 업데이트가 가능할 때 차량의 터치스크린과 Tesla 앱에서 알림이 표시됩니다 터치스크린에서 '컨트롤'> '소프트웨어'를 탭하여 차량 업데이트를 확인할 수 있습니다 차량이 업데이트를 확인하고 ""업데이트 확인 중...""을 표시합니다 대기 중인 소프트웨어 업데이트가 없는 경우 터치스크린에 ""차량 소프트웨어가 최신 버전입니다""라고 표시됩니다 사용 가능한 소프트웨어 업데이트가 있을 경우 터치스크린에 ""업데이트 이용 가능""이 표시됩니다 터치스크린의 화면 상단에 노란색 다운로드 아이콘도 표시됩니다 개별 요청에 따라 소프트웨어 업데이트를 보내지 않습니다 최신 소프트웨어 업데이트를 받으려면 Wi-Fi에 연결된 상태를 유지하는 것이 좋습니다 사용자 매뉴얼에는 차량을 Wi-Fi에 연결하는 방법에 대한 단계별 지침이 있습니다 참고: 새 Tesla 차량 인도 후, 첫 소프트웨어 업데이트가 제공되면 Tesla 앱을 통해 안내를 받게 됩니다 첫 소프트웨어 업데이트를 설치하기 전에는 일부 기능이 제공되지 않을 수 있습니다 소프트웨어 업데이트는 어떻게 작동하나요? 소프트웨어 업데이트에는 두 단계가 있습니다 다운로드 단계: 다운로드 단계에서는 새 업데이트가 무선으로 배포되고 차량에 설치할 준비가 됩니다 업데이트를 다운로드하는 동안에는 Wi-Fi에 연결되어 있어야 합니다 설치 단계: 설치 단계에서는 완전히 다운로드된 소프트웨어 업데이트가 차량에 설치됩니다 설치 중에는 안전 조치로서 차량을 운전할 수 없습니다 충전기에 연결되어 있는 경우 설치가 완료될 때까지 차량이 충전되지 않습니다 일부 소프트웨어 업데이트는 완료하는 데 몇 시간이 걸릴 수 있습니다 차량을 주차한 상태에서 소프트웨어를 업데이트해야 합니다 소프트웨어 업데이트를 가장 빠르고 안정적으로 받으려면 가능할 때마다 Wi-Fi를 켜고 연결된 상태로 두세요 소프트웨어 업데이트는 어떻게 시작하나요? 다음 방법 중 하나를 사용하여 소프트웨어 업데이트를 시작할 수 있습니다 노란색 시계 아이콘을 눌러 예약 창을 표시합니다 소프트웨어 업데이트 시간을 예약하거나 지금 설치할 수 있습니다 업데이트 설치 예약 시간을 설정하면, 업데이트가 시작될 때까지 노란색 시계 아이콘이 흰색 아이콘으로 바뀝니다 업데이트 전 언제든지 시계 아이콘을 눌러 업데이트 시간을 변경할 수 있습니다 '컨트롤' > '소프트웨어'를 탭하여 차량에 사용 가능한 소프트웨어 업데이트가 있는지 확인합니다 있을 경우 '업데이트 이용 가능'을 탭하여 예약 창으로 이동하세요 Tesla 앱에서 소프트웨어 업데이트를 시작합니다 다운로드가 시작되면 차량 터치스크린에 녹색 다운로드 아이콘이 나타납니다 차량 터치스크린에 노란색 다운로드 아이콘이 표시되면 소프트웨어 업데이트를 사용할 수 있지만, 현재 차량이 Wi-Fi에 연결되어 있지 않습니다 차량 소프트웨어 업데이트를 다운로드하려면 어떤 Wi-Fi 연결이 필요한가요? 빠르고 간편하게 다운로드하려면 차량이 Wi-Fi에 안정적으로(연결 강도를 나타내는 막대 3개 이상 표시) 연결되어 있어야 합니다 연결 강도를 나타내는 막대가 3개 미만인 경우 업데이트를 다운로드하기 전에 차량을 Wi-Fi 소스에 더 가깝게 이동하거나 연결 상태가 좋아질 때까지 기다려야 할 수 있습니다 Wi-Fi에 대한 도움이 필요한 경우 인터넷 서비스 제공업체에 문의하세요 소프트웨어 업데이트 중에 차량을 운전할 수 있나요? 안전 조치로서 설치 단계에서는 차량을 운전할 수 없습니다 다운로드 단계에서는 주행할 수 있습니다 단, 기어를 P(주차)에서 다른 위치로 변경하여 차량의 Wi-Fi 연결이 해제되면 다운로드가 중단될 수 있습니다 최신 소프트웨어 업데이트의 릴리스 노트를 어떻게 찾을 수 있나요? 차량의 최신 릴리스 노트를 확인하려면 '소프트웨어' > '릴리스 노트'를 탭합니다 소프트웨어의 버전을 어떻게 확인하나요? 차량의 최신 소프트웨어 버전을 확인하려면 터치스크린에서 '소프트웨어'를 탭합니다 Tesla 앱에서 사용 중인 버전을 확인할 수도 있습니다 현재 소프트웨어 버전은 시작 페이지의 VIN 하단에 표시됩니다 참고: 차량을 이전 소프트웨어 버전으로 되돌릴 수 없습니다 소프트웨어 업데이트 시작 후 소프트웨어 업데이트를 취소할 수 있나요? 업데이트 준비가 완료되면 어떻게 다시 시작하나요? 설치 단계가 시작되면 소프트웨어 업데이트를 취소할 수 없습니다 소프트웨어 업데이트가 제대로 설치되지 않는 것 같습니다 어떻게 문제를 해결하나요? 소프트웨어 업데이트에 실패했거나 업데이트 후 차량 또는 터치스크린이 응답하지 않으면 다음 단계를 따릅니다 먼저, 소프트웨어 업데이트 상태를 확인합니다 Tesla 앱에 '소프트웨어 업데이트 완료' 알림이 표시되지 않고 업데이트가 시작된 후 3시간이 지난 경우 터치스크린을 재부팅합니다 터치스크린을 재부팅하려면 Tesla 'T'가 터치스크린에 나타날 때까지 스티어링 휠에 있는 두 개의 스크롤 휠 버튼을 길게(약 20초) 누릅니다 계속 업데이트에 실패한다면 정비 일정을 예약합니다 소프트웨어 업데이트가 중단되어 계속 진행되지 않습니다 어떻게 해야 하나요? 업데이트를 다운로드하거나 설치하는 동안 차량이 Wi-Fi에 연결되어 있는지 확인하세요 업데이트가 진행되지 않는 경우 정비 예약을 하시기 바랍니다 소프트웨어 업데이트 후 Bluetooth 연결에서 미디어 재생 문제를 해결하려면 어떻게 해야 하나요? Bluetooth 연결에 문제가 있는 경우 다음 단계를 따릅니다 차량의 Bluetooth 설정 화면에서 장치를 연결 해제하고 삭제합니다 장치의 Bluetooth 설정에서 차량을 삭제합니다 장치를 차량과 다시 페어링을 시도합니다 기타 관련 문제가 발생한 경우 위에서 설명한 것처럼 터치스크린 재부팅을 시도합니다 소프트웨어 업데이트 후 발생한 key-less 승차 문제를 어떻게 해결하나요? 차량 탑승 관련 문제의 경우에는 필요한 키리스 엔트리 설정이 켜져 있는지 확인합니다 '휴대폰 키' 기능을 사용하는 경우에는 휴대폰이 '휴대폰 키'로 설정되어 있고 Tesla 앱이 백그라운드에서 실행 중인지 확인합니다 여전히 문제가 해결되지 않으면 Bluetooth 연결을 켜고 끕니다 아니면 휴대폰을 키로 다시 페어링합니다 휴대폰 키를 설정하고 모바일 장치와 페어링하는 방법에 대한 단계별 지침은 사용자 매뉴얼에서 확인할 수 있습니다 업데이트를 받았는데 왜 아무것도 변경되지 않나요? Tesla 차량은 크고 작은 소프트웨어 업데이트를 정기적으로 받습니다 작은 소프트웨어 업데이트는 주행 경험을 크게 변화시키지 않을 수 있습니다 소프트웨어를 업데이트하는 중에 차량을 충전할 수 있나요? OTA 업데이트 설치 중에는 차량이 충전되지 않습니다 충전 중에 소프트웨어 업데이트를 설치하면 업데이트 중에 차량 충전이 중지되고 업데이트가 완료되면 자동으로 충전이 재개됩니다 소프트웨어 업데이트 설치 소프트웨어 업데이트 설정 변경"
테슬라,기능 및 충전,보안 기능,차량 안전 및 보안 기능,"디자인 및 물리적 구조에서부터 강력한 보안에 이르기까지, Tesla 차량은 모든 측면에서 안전을 갖춰 개발되었습니다 Tesla 차량에는 활성화할 수있는 몇 가지 향상된 보안 기능이 있습니다 해당 기능을 활성화하려면 차량 터치스크린에서 '컨트롤' > '안전 및 보안'으로 이동합니다 보안 알람 주행용 비밀번호 감시 모드 수동 진입 설정 침입 센서 자주 묻는 질문 유효한 키 없이 차량의 도어나 트렁크를 여는 경우 알람이 울리고 외부 라이트가 깜빡입니다 터치스크린에서 보안 알람을 활성화하려면 '컨트롤' > '안전 및 보안' > '보안 알람'을 탭합니다 차량 하차 후 도어가 잠기고 차량 내부나 근처에서 키가 감지되지 않으면 1분 후에 보안 알람이 활성화됩니다 차량 알람을 중지하려면 키팝, 키 카드 또는 Tesla 앱을 통해 도어를 잠금 해제합니다"
테슬라,기능 및 충전,보안 기능,감시 모드,"차량에서 캡처된 감시 모드 기록이 Tesla와 공유되나요? 아니요 개인 정보 보호를 위해 감시 모드 기록은 Tesla로 전송되지 않습니다 2018년식 이상인 차량(소프트웨어 버전 2020.48.5 이상)의 경우, 기록이 온보드 메모리에 저장되며 차량 터치스크린에서 바로 볼 수 있습니다 감시 모드는 USB 드라이브가 설치되지 않은 상태에서도 유사한 방식으로 작동할 수 있으며 위협이 감지되면 휴대폰으로 경고를 보낼 수 있지만 이벤트 기록을 사용할 수는 없습니다."
테슬라,기능 및 충전,보안 기능,대시보드 카메라,"내 블랙박스를 올바르게 설치하려면 어떻게 하나요? 영상을 저장하고 검색하려면 올바르게 포맷된 USB 플래시 드라이브를 사용해야 합니다 올바르게 포맷된 USB 플래시 드라이브를 차량의 전면 USB 포트 중 하나에 삽입하면 터치스크린 상단에 블랙박스 아이콘이 나타납니다 플래시 드라이브를 포맷하려면 전면 USB 포트에 삽입하고 '안전 및 보안' > 'USB 장치 포맷'을 탭합니다 이렇게 하면 USB 플래시 드라이브가 exFAT로 포맷되고 TeslaCam 폴더가 생성됩니다 개인용 컴퓨터에서 플래시 드라이브를 포맷하는 방법에 대한 지침은 사용자 매뉴얼을 참조하세요 참고: 'USB 장치 포맷'을 드라이브가 포맷되고 기존 콘텐츠가 모두 지워집니다 USB 플래시 드라이브는 exFAT, FAT 32(Windows의 경우), MS-DOS FAT(Mac의 경우), ext3 또는 ext4로 포맷해야 합니다 NTFS는 지원되지 않습니다 USB 플래시 드라이브에는 TeslaCam이라는 기본 수준 폴더도 있어야 합니다 내 차량에서 캡처된 Dashcam(블랙박스) 기록이 Tesla와 공유되나요? 아니요 블랙박스는 올바르게 구성된 USB 드라이브를 전면 USB 포트 중 하나에 삽입한 경우에 사용할 수 있는 기능입니다 녹화된 모든 영상은 USB 드라이브에 로컬로 저장되며 Tesla로 전송되지 않습니다"
테슬라,기능 및 충전,DIY 매뉴얼,DIY(Do It Yourself) 매뉴얼,서비스 예약 없이 오너가 직접 진행할 수 있는 기본 정비 작업이 있습니다 Tesla 차량의 자가 정비 절차에 대한 단계별 지침은 아래의 가이드를 참조하세요 DIY (Do It Yourself) - Model S DIY (Do It Yourself) - Model 3 DIY (Do It Yourself) - Model X DIY (Do It Yourself) - Model Y DIY (Do It Yourself) - Cybertruck 자세한 정보는 사용자 매뉴얼에서 확인할 수 있습니다.
테슬라,기능 및 충전,수퍼차저,수퍼차저,"80,000대 이상의 글로벌 수퍼차저가 고객의 편의를 위하여 인기있는 여행 경로를 따라 식당, 상점, 화장실 및 Wi-Fi 핫스팟과 같은 편의시설 근처에 배치되어 있습니다 각 충전소에는 여러 대의 수퍼차저가 설치되어 있어 신속하게 충전한 후 다시 여정을 이어갈 수 있습니다 참고: 수퍼차저 충전소의 충전 속도는 배터리 팩의 크기와 연식, 충전 상태, 주변 온도 조건, 차량 옵션과 같은 여러 요인에 따라 달라질 수 있습니다 충전소의 팝업 카드에서 각 충전소의 최대 가용 kW를 확인할 수 있습니다 수퍼차저는 언제 사용해야 하나요? 장거리 여행에 적합한 수퍼차저는 Tesla를 신속하게 충전하여 다시 도로에서 주행할 수 있도록 설계되었습니다 일상적인 출퇴근이나 지역 주행 필요를 위해 다양한 가정용 충전 옵션이 있습니다 수퍼차저로 차량을 어떻게 충전합니까? 수퍼차저로 Tesla 차량을 충전하려면 먼저 차량의 터치스크린 또는 Tesla 앱을 사용해 충전 포트를 열어야 합니다 차량이 잠금 해제된 상태에서는 충전 포트 도어 하단을 눌러 충전 포트를 열 수도 있습니다 충전 커넥터를 차량 충전 포트에 연결합니다 충전이 시작되면 충전 포트 LED가 녹색으로 점멸합니다 Tesla 앱에서 충전 과정을 모니터링할 수 있습니다 충전이 완료되면 커넥터 핸들의 버튼을 눌러 래치를 해제하고 핸들을 충전 포트에서 당겨 충전 케이블을 분리하세요 충전 포트가 자동으로 닫힙니다 차량에서 커넥터를 분리하면 Tesla 앱의 결제방법으로 곧바로 결제가 처리됩니다 100%까지 충전해야 합니까? 내비게이션이 활성화되어 있는 경우 차량은 경로에 있는 다음 수퍼차저에 도달하는 데 필요한 충전 수준을 권장합니다 사용량이 많은 수퍼차저의 혼잡을 줄이기 위해 차량의 충전 한도를 자동으로 80%로 조정될 수 있습니다 차량에 연결한 후 차량 터치스크린 또는 Tesla 앱을 사용하여 충전 한도를 수동으로 높일 수 있습니다 참고: 배터리가 충전될수록 충전 속도가 느려지므로, 일반적으로 80% 충전보다 100% 충전에 더 오랜 시간이 걸립니다"
테슬라,기능 및 충전,홈차징,Tesla 홈차징,"전기차를 집에서 충전하는 것은 편리하고 경제적입니다 전기차 가정용 충전기를 설치하면 주차 공간에서 간단히 플러그를 연결하여 사용량이 적은 시간에 저렴한 야간 전기 요금으로 이용할 수 있습니다 아래의 단계를 따라 Tesla의 가정용 충전기를 설치하고 경험해 보시기 바랍니다 가정용 충전기 옵션 검토하기 계약업체에 문의하기 장비 주문하기 충전기 설치하기 플러그를 연결하고 충전하기 집에서 전기차를 충전할 수 있는 다양한 장비 옵션이 있습니다 일상적인 운전 습관, 매일 밤 주차하는 장소와 소유하고 있는 차량의 종류를 고려한 뒤 아래 옵션을 검토합니다 혜택 가장 편리한 가정용 충전 옵션 모든 전기차와 호환 가능 충전 예약 및 기록 원격 진단 실외 환경과 호환 충전 요금 최대 10.5kW(60A 차단기)1 자세히 알아보기 월 커넥터 혜택 표준 가정용 콘센트 또는 220V 콘센트에 연결 외부 환경에서도 휴대 및 사용 가능 충전 요금 220V 콘센트가 있는 표준 가정용 콘센트(설치가 필요할 수 있음)의 경우 3kW 자세히 알아보기 모바일 커넥터 충전 설정에 따라 설치에 최대 수 시간이 걸릴 수 있습니다 가정용 충전기가 올바르게 작동하는지 여부는 항상 계약업체와 함께 검사합니다."
테슬라,기능 및 충전,홈차징,설치 리소스,"월 커넥터 설치하고 초기 설정하기 설치 설명서 및 제품 가이드 설치 후에는 Tesla 가정용 충전기의 모든 혜택을 누릴 수 있습니다 월 커넥터의 Wi-Fi 연결 기능을 활용하면 Tesla 앱을 통해 충전 상태를 제어하고 관리할 수 있으며, Tesla 차량 외의 다른 전기차에도 사용할 수 있습니다 또한 충전 통계 확인, 접근 제어 설정, 문제 발생 시 원격 진단 등 다양한 기능도 함께 제공됩니다 모바일 커넥터를 사용하면 차량 터치스크린과 Tesla 앱을 통해 충전을 관리하고 제어할 수 있습니다 Tesla 월 커넥터를 설치해야 하나요? Tesla에서는 예약 기능 및 타사 전기차와의 호환성 등 최고의 편의성을 보장하는 월 커넥터를 가정용 충전 솔루션으로 권장하고 있습니다 그러나 Tesla 차량은 모바일 커넥터로도 충전할 수 있습니다 집에 220V 콘센트가 있다면 모바일 커넥터가 좋은 충전 옵션이 될 수 있습니다 Model 3 후륜구동 또는 Model Y 후륜구동 모델에 가장 적합한 가정용 충전 유형은 무엇인가요? 월 커넥터는 Model 3 후륜구동, Model Y 후륜구동 및 Model Y 사륜구동 모델에 최대 충전 속도(32A – 최대 7kW)를 제공합니다 월 커넥터는 40A 회로 차단기(32A 출력)에 설치할 수 있습니다 기존 콘센트가 있는 경우 어떻게 해야 하나요? 월 커넥터는 가장 빠른 충전 속도 및 최대의 편리성을 제공하므로 가정용 충전에 적합합니다 그러나 Tesla 차량 역시 범용 콘센트에서 모바일 커넥터로 충전할 수 있습니다 참고: 기존의 가정용 콘센트를 사용하려는 경우 Tesla는 사용 전에  한국 공인 전기 계약업체에 연락하여 점검을 받는 것을 권장합니다 집에서 충전 효율을 극대화하려면 월 커넥터를 설치하는 것이 좋습니다 Tesla 이외 전기차를 소유하고 있다면 어떻게 되나요? 월 커넥터로 타사 모든 전기차를 충전할 수 있습니다 충전 속도는 차량 및 사용 가능한 전력에 따라 다릅니다 두 대의 전기차를 보유하고 있습니다 두 차량을 동시에 충전하는 가장 좋은 방법은 무엇인가요? 그룹 전력 관리 기능으로 구성된 월 커넥터 2대를 설치하는 것이 가장 효율적인 선택입니다 Tesla 가정용 충전기를 설치하는 데 비용이 얼마나 필요하나요? 설치 비용은 전기 시스템 및 설치 유형에 따라 다릅니다 견적을 받으려면 한국 공인 전기 계약업체에 문의하세요 월 커넥터를 Wi-Fi에 어떻게 연결하나요? 월 커넥터를 Wi-Fi에 연결하는 단계를 따르면 무선 펌웨어 업데이트 및 원격 진단을 통해 월 커넥터를 최신 상태로 유지할 수 있습니다 아파트 또는 콘도에 거주하고 있습니다 여전히 가정용 충전기를 설치할 수 있나요? 법적으로 공동 주택에서 전기차 충전을 허용해야 하는 사례가 점차 증가하고 있습니다 또한 설치 비용 절감을 위해 오너 또는 오너 측 부동산 관리자에게 인센티브가 제공될 수 있습니다 충전기 설치에 대해서는 부동산 관리자에게 문의하세요 전기차를 집에서 충전하는 가장 좋은 방법은 무엇인가요? 매일 저녁 차량을 충전기에 연결하여 배터리를 완전 충전하기를 권장드립니다 야간 전기 요금이 낮은 경우에는 충전 시간을 전기 사용량이 적은 시간으로 설정합니다 배터리를 몇 퍼센트까지 충전해야 하나요? 설치된 배터리를 고려하여 Tesla 차량에 적합한 충전 한도까지 배터리를 충전하세요 차량의 충전 한도를 조정하려면 터치스크린이나 Tesla 앱에서 충전 화면을 열고 슬라이더를 조절하세요 최적의 성능을 위해 배터리별로 충전 습관을 다르게 설정해야 합니다 차량의 터치스크린에 배터리의 권장 충전 한도가 표시됩니다 타사 전기차의 경우에는 차량 제조사의 지침을 참조하세요 전기차를 충전하는데 시간이 얼마나 걸리나요? Tesla 차량 충전 속도는 모바일 커넥터 또는 월 커넥터 사용 여부와 차량 모델에 따라 다릅니다 타사 전기차의 충전 속도에 대한 내용은 차량 제조사 지침을 참조하세요 설치 설명서 및 제품 가이드 문제 해결하기 1 Tesla 차량의 월 커넥터 및 모바일 커넥터 충전 속도 표를 참조하세요 Model 3 후륜구동 및 Model Y 후륜구동 모델의 최대 충전 속도는 32A입니다 Tesla 이외 차량의 충전 속도는 다를 수 있습니다 가정용 충전기 옵션 검토하기 충전기 설치하기 플러그를 연결하고 충전하기 자주 묻는 질문 추가 리소스"
테슬라,기능 및 충전,충전 및 어댑터,충전 및 어댑터 제품 매뉴얼,"모바일 커넥터, 월 커넥터 및 기타 Tesla 충전 제품에 대한 제품 안내 자료를 찾아보세요 Tesla 충전 제품에 대한 사용자 매뉴얼에서 문제 해결 단계 및 일반 정보와 안전 정보를 살펴보세요 Gen 2 모바일 커넥터 사용자 매뉴얼 Gen 1 모바일 커넥터 사용자 매뉴얼 CHAdeMO 어댑터 사용자 매뉴얼 GB 어댑터 사용자 매뉴얼 CCS2-NACS 어댑터 CCS1-NACS 어댑터 CCS 콤보 2 어댑터 사용자 매뉴얼 CCS 콤보 1 어댑터 사용자 매뉴얼 J1772 어댑터 사용자 매뉴얼"
테슬라,기능 및 충전,충전 및 어댑터,모바일 커넥터 Gen 3 사용자 매뉴얼,"지침, 문제 해결 단계 등을 보려면 모바일 커넥터 Gen 3 사용자 매뉴얼을 다운로드하세요 북미 지역을 위한 리소스

모바일 커넥터 Gen 3 사용자 매뉴얼 - 북미(English)
모바일 커넥터 Gen 3 사용자 매뉴얼 - 북미(Español)
모바일 커넥터 Gen 3 사용자 매뉴얼 - 북미(Français) 모바일 커넥터 Gen 3 사용자 매뉴얼 - 북미(English) 모바일 커넥터 Gen 3 사용자 매뉴얼 - 북미(Español) 모바일 커넥터 Gen 3 사용자 매뉴얼 - 북미(Français) 유럽 및 중동 지역을 위한 리소스

Mobile Connector Gen 3 Owner's Manual - Europe (Català)
Mobile Connector Gen 3 Owner's Manual - Europe (Dansk)
Mobile Connector Gen 3 Owner's Manual - Europe (Deutsch)
Mobile Connector Gen 3 Owner’s Manual - Europe (Eesti)
Mobile Connector Gen 3 Owner's Manual - Europe (English)
Mobile Connector Gen 3 Owner's Manual - Europe (Español)
Mobile Connector Gen 3 Owner's Manual - Europe (Français)
Mobile Connector Gen 3 Owner's Manual - Europe (Italiano)
Mobile Connector Gen 3 Owner’s Manual - Europe (Latvija)
Mobile Connector Gen 3 Owner's Manual - Europe (Nederlands)
Mobile Connector Gen 3 Owner's Manual - Europe (Norsk)
Mobile Connector Gen 3 Owner's Manual - Europe (Português)
Mobile Connector Gen 3 Owner’s Manual - Europe (Slovenčina)
Mobile Connector Gen 3 Owner's Manual - Europe (Suomi)
Mobile Connector Gen 3 Owner's Manual - Europe (Svenska) Mobile Connector Gen 3 Owner's Manual - Europe (Català) Mobile Connector Gen 3 Owner's Manual - Europe (Dansk) Mobile Connector Gen 3 Owner's Manual - Europe (Deutsch) Mobile Connector Gen 3 Owner’s Manual - Europe (Eesti) Mobile Connector Gen 3 Owner's Manual - Europe (English) Mobile Connector Gen 3 Owner's Manual - Europe (Español) Mobile Connector Gen 3 Owner's Manual - Europe (Français) Mobile Connector Gen 3 Owner's Manual - Europe (Italiano) Mobile Connector Gen 3 Owner’s Manual - Europe (Latvija) Mobile Connector Gen 3 Owner's Manual - Europe (Nederlands) Mobile Connector Gen 3 Owner's Manual - Europe (Norsk) Mobile Connector Gen 3 Owner's Manual - Europe (Português) Mobile Connector Gen 3 Owner’s Manual - Europe (Slovenčina) Mobile Connector Gen 3 Owner's Manual - Europe (Suomi) Mobile Connector Gen 3 Owner's Manual - Europe (Svenska) 아시아 태평양 지역을 위한 리소스

모바일 커넥터 Gen 3 사용자 매뉴얼 - 일본(English)
모바일 커넥터 Gen 3 사용자 매뉴얼 - 일본(Japanese) 모바일 커넥터 Gen 3 사용자 매뉴얼 - 일본(English) 모바일 커넥터 Gen 3 사용자 매뉴얼 - 일본(Japanese)"
